user_id,name,birthdate,national_health_card_number,cpf,unit,medical_care_date,health_condition
1,Elisa Pinto,1978-04-05,75983412655,320.641.879-87,Unidade de saude Maria Alice,2023-08-10 10:43:39.216577,hipertensao
1,Elisa Pinto,1978-04-05,75983412655,320.641.879-87,Unidade de saude Maria Alice,2023-12-19 03:18:47.561698,diabetes
1,Elisa Pinto,1978-04-05,75983412655,320.641.879-87,Unidade de saude Maria Alice,2023-11-06 19:41:54.226493,diabetes
1,Elisa Pinto,1978-04-05,75983412655,320.641.879-87,Unidade de saude Maria Alice,2023-10-14 04:59:44.437488,ferida vascular
1,Elisa Pinto,1978-04-05,75983412655,320.641.879-87,Unidade de saude Maria Alice,2023-05-13 22:39:26.461473,dengue
1,Elisa Pinto,1978-04-05,75983412655,320.641.879-87,Unidade de saude Maria Alice,2023-11-26 02:54:47.325142,dengue
1,Elisa Pinto,1978-04-05,75983412655,320.641.879-87,Unidade de saude Maria Alice,2023-12-17 13:40:39.702202,diabetes
1,Elisa Pinto,1978-04-05,75983412655,320.641.879-87,Unidade de saude Maria Alice,2024-04-04 05:50:53.899429,hipertensao
2,Dr. Rafael Barros,1993-11-22,12394078588,946.710.253-61,Unidade de saude Cecília,2023-05-25 06:24:37.640841,diabetes
2,Dr. Rafael Barros,1993-11-22,12394078588,946.710.253-61,Unidade de saude Cecília,2024-03-14 02:01:15.002655,dengue
2,Dr. Rafael Barros,1993-11-22,12394078588,946.710.253-61,Unidade de saude Cecília,2024-01-15 18:33:46.942101,diabetes
2,Dr. Rafael Barros,1993-11-22,12394078588,946.710.253-61,Unidade de saude Cecília,2023-09-21 07:09:29.409935,dengue
2,Dr. Rafael Barros,1993-11-22,12394078588,946.710.253-61,Unidade de saude Cecília,2023-10-20 18:52:56.623456,diabetes
2,Dr. Rafael Barros,1993-11-22,12394078588,946.710.253-61,Unidade de saude Cecília,2024-04-11 17:16:11.788910,ferida vascular
2,Dr. Rafael Barros,1993-11-22,12394078588,946.710.253-61,Unidade de saude Cecília,2024-03-22 16:34:21.708571,ferida vascular
